藥品代碼,藥品名稱,數量,支付價,藥商
AC37687100,GINKGO BILOBA EXTRACT， 一般錠劑膠囊劑 ， 40.00 MG,139949.0,7.2,瑞安大藥廠股份有限公司
AC376871G0,GINKGO BILOBA EXTRACT， 一般錠劑膠囊劑 ， 40.00 MG,5478169.0,2,瑞安大藥廠股份有限公司
AC37689100,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,3580891.6,1.5,永勝藥品工業股份有限公司
AC376891G0,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,16057811.8,2,永勝藥品工業股份有限公司
AC37691345,PIROXICAM ， 外用軟膏劑 ， 10.00  MG/GM ， 40.00 GM,1.0,40.8,明大化學製藥股份有限公司
AC37696100,HALOPERIDOL ， 一般錠劑膠囊劑 ， 5.00 MG,46762.3,2.93,國嘉製藥工業股份有限公司幼獅三廠
AC376961G0,HALOPERIDOL ， 一般錠劑膠囊劑 ， 5.00 MG,132586.3,2,國嘉製藥工業股份有限公司幼獅三廠
AC37702100,ACETYLSALICYLIC ACID ， 一般錠劑膠囊劑 ， 81-325，MG,5151.0,1.5,井田國際醫藥廠股份有限公司
AC37704100,ACETAMINOPHEN 300MG + CODEINE 6MG， 一般錠劑膠囊劑，,196840.9,1.5,壽元化學工業股份有限公司
AC377041G0,ACETAMINOPHEN 300MG + CODEINE 6MG， 一般錠劑膠囊劑，,34125.5,2,壽元化學工業股份有限公司
AC37712100,TRIHEXYPHENIDYL ， 一般錠劑膠囊劑 ， 2.00 MG,1191377.0,1.5,盛雲藥品股份有限公司
AC377121G0,TRIHEXYPHENIDYL ， 一般錠劑膠囊劑 ， 2.00 MG,2082988.5,2,盛雲藥品股份有限公司
AC37715100,SULINDAC ， 一般錠劑膠囊劑 ， 200.00 MG,168.0,2,信隆藥品工業股份有限公司
AC37720100,URSODEOXYCHOLIC ACID ， 一般錠劑膠囊劑 ， 100.00 MG,3080269.8,2.94,政德製藥股份有限公司
AC377201G0,URSODEOXYCHOLIC ACID ， 一般錠劑膠囊劑 ， 100.00 MG,3544640.0,2,政德製藥股份有限公司
AC37740100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,813120.4,1.5,永勝藥品工業股份有限公司
AC37741209,CEFTRIAXONE ， 注射劑 ， 1000.00 MG,50234.5,82,瑞士藥廠股份有限公司
AC37741212,CEFTRIAXONE ， 注射劑 ， 2000.00 MG,43036.8,660,瑞士藥廠股份有限公司
AC37809100,FENBUFEN ， 一般錠劑膠囊劑 ， 200.00 MG,354.0,1.5,健得方醫藥生技股份有限公司
AC37833100,CAPTOPRIL ， 一般錠劑膠囊劑 ， 50.00 MG,168.0,7.3,永信藥品工業股份有限公司
AC37835100,CAPTOPRIL ， 一般錠劑膠囊劑 ， 25.00 MG,3160.0,2.08,永信藥品工業股份有限公司
AC37837100,BISMUTH SUBCITRATE or BISMUTH SUBNITRATE ， 一般錠劑膠囊劑 ， 300.00 MG,377425.5,6.3,瑞士藥廠股份有限公司
AC37838335,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 15.00 GM,30.0,18.5,新喜國際企業股份有限公司
AC37838338,SULFADIAZINE ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,88.0,33.2,新喜國際企業股份有限公司
AC37861100,BENZBROMARONE ， 一般錠劑膠囊劑 ， 50.00 MG,2840.0,1.5,約克製藥股份有限公司
AC378611G0,BENZBROMARONE ， 一般錠劑膠囊劑 ， 50.00 MG,4957.0,2,約克製藥股份有限公司
AC37862100,FENOPROFEN ， 一般錠劑膠囊劑 ， 200.00 MG,36.0,3.84,西德有機化學藥品股份有限公司
AC37866421,TROPICAMIDE ， 眼用液劑 ， 5.00  MG/ML ， 5.00 ML,196585.5,41.6,杏輝藥品工業股份有限公司
AC37874421,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,35330.2,55,美西製藥有限公司
AC37874426,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 8.00 GM,2496.0,61,美西製藥有限公司
AC37875100,AMBROXOL ， 一般錠劑膠囊劑 ， 30.00 MG,1195700.9,1.5,壽元化學工業股份有限公司
AC37876100,SILYMARIN ， 一般錠劑膠囊劑 ， 150.00 MG,17397.0,1.7,明德製藥股份有限公司
AC378761G0,SILYMARIN ， 一般錠劑膠囊劑 ， 150.00 MG,175563.0,2,明德製藥股份有限公司
AC37878500,DICLOFENAC ， 栓劑 ， 12.50 MG,13065.0,5,杏輝藥品工業股份有限公司
AC37902100,SULINDAC ， 一般錠劑膠囊劑 ， 200.00 MG,6173.0,2.03,福元化學製藥股份有限公司
AC37909329,ETOFENAMATE ， 外用軟膏劑 ， 100.00  MG/GM ， 10.00 GM,16.0,29.3,意欣國際有限公司
AC37909338,ETOFENAMATE ， 外用軟膏劑 ， 100.00  MG/GM ， 20.00 GM,25.0,35.6,意欣國際有限公司
AC37909345,ETOFENAMATE ， 外用軟膏劑 ， 100.00  MG/GM ， 40.00 GM,83557.0,98,意欣國際有限公司
AC37923329,CLOBETASONE BUTYRATE ， 外用軟膏劑 ， 0.50  MG/GM ， 10.00 GM,4770.0,39.2,永吉製藥股份有限公司
AC37924477,NORFLOXACIN ， 眼用液劑 ， 3.00  MG/ML ， .50 ML,116953.0,4,麥迪森醫藥股份有限公司
AC37928100,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,32445.5,1.65,衛達化學製藥股份有限公司
AC379281G0,ATENOLOL ， 一般錠劑膠囊劑 ， 100.00 MG,200097.5,2,衛達化學製藥股份有限公司
AC37934100,TIAPROFENIC ACID ， 一般錠劑膠囊劑 ， 200.00 MG,3771.0,3.43,五洲製藥股份有限公司
AC37945100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,978945.6,1.5,強生化學製藥廠股份有限公司
AC379451G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,76419.5,2,強生化學製藥廠股份有限公司
AC379451GA,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,22827.0,2,強生化學製藥廠股份有限公司
AC379881G0,BENZBROMARONE ， 一般錠劑膠囊劑 ， 50.00 MG,4416414.2,2,五洲製藥股份有限公司
AC37991100,RANITIDINE ， 一般錠劑膠囊劑 ， 300.00 MG,1440.0,5.7,衛達化學製藥股份有限公司
AC37995209,DIMENHYDRINATE，注射劑， 50.00MG (= DIPHENHYRAMINE 25.00MG),8649.8,15,瑞士藥廠股份有限公司
AC37995221,DIMENHYDRINATE，注射劑， 250.00MG (= DIPHENHYRAMINE 125.00MG),1.0,51,瑞士藥廠股份有限公司
AC37996100,CALCIUM ACETATE ， 一般錠劑膠囊劑 ， 667.00 MG,2302.0,2.03,瑞士藥廠股份有限公司
AC379961G0,CALCIUM ACETATE ， 一般錠劑膠囊劑 ， 667.00 MG,184675.0,2,瑞士藥廠股份有限公司
AC37997100,FLUNITRAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,1658359.5,2.91,瑞士藥廠股份有限公司
AC379971G0,FLUNITRAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,9290126.8,2,瑞士藥廠股份有限公司
AC38013500,ECONAZOLE ， 陰道用錠劑膠囊劑 ， 150.00 MG,55389.0,9.9,培力藥品工業股份有限公司
AC38023100,ALLOPURINOL ， 一般錠劑膠囊劑 ， 100.00 MG,72.0,1.5,大豐製藥股份有限公司
AC38030100,SILYMARIN ， 一般錠劑膠囊劑 ， 150.00 MG,211104.1,1.7,永勝藥品工業股份有限公司
AC380301G0,SILYMARIN ， 一般錠劑膠囊劑 ， 150.00 MG,633983.0,2,永勝藥品工業股份有限公司
AC38049321,HYDROCORTISONE ACETATE 10MG/GM + NEOMYCIN 3.5MG/GM + CENTELLA ASIATICA TITRATED EXTRACT 10MG/GM， 外用軟膏劑， 5.00GM,473.0,42.5,杏輝藥品工業股份有限公司
AC38049338,HYDROCORTISONE ACETATE 10MG/GM + NEOMYCIN 3.5MG/GM + CENTELLA ASIATICA TITRATED EXTRACT 10MG/GM， 外用軟膏劑， 20.00GM,71.0,139,杏輝藥品工業股份有限公司
AC38055100,MEDROXYPROGESTERONE ， 一般錠劑膠囊劑 ， 5.00 MG,575952.1,1.61,井田國際醫藥廠股份有限公司
AC380551G0,MEDROXYPROGESTERONE ， 一般錠劑膠囊劑 ， 5.00 MG,144879.0,2,井田國際醫藥廠股份有限公司
AC38056100,OXYBUTYNIN ， 一般錠劑膠囊劑 ， 2.50 MG,383576.2,1.84,盛雲藥品股份有限公司
AC38073314,ESTRADIOL ， 外用軟膏劑 ， 0.60  MG/GM ， 2.50 GM,37010.0,15,黃氏製藥股份有限公司
AC38076100,BROMAZEPAM ， 一般錠劑膠囊劑 ， 3.00 MG,78139.7,1.62,井田國際醫藥廠股份有限公司
AC380761G0,BROMAZEPAM ， 一般錠劑膠囊劑 ， 3.00 MG,1107.0,2,井田國際醫藥廠股份有限公司
AC38081100,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,2336471.4,1.5,福元化學製藥股份有限公司
AC380811G0,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,500406.9,2,福元化學製藥股份有限公司
AC380811G5,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,51.0,2,福元化學製藥股份有限公司
AC38088100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,2310.0,1.5,永吉製藥股份有限公司
AC38089100,CIPROFLOXACIN ， 一般錠劑膠囊劑 ， 250.00 MG,1215302.7,9.8,永信藥品工業股份有限公司
AC38090100,CIPROFLOXACIN ， 一般錠劑膠囊劑 ， 500.00 MG,1575.0,9.1,永信藥品工業股份有限公司
AC38091100,ESTRADIOL VALERATE 2MG + MEDROXYPROGESTERONE 10MG， 一般錠劑膠囊劑,79479.0,5.2,盛雲藥品股份有限公司
AC38097100,SILYMARIN ， 一般錠劑膠囊劑 ， 150.00 MG,18467.0,2.13,永信藥品工業股份有限公司
AC38098209,PIROXICAM ， 注射劑 ， 20.00 MG,2.0,29,永信藥品工業股份有限公司
AC38104100,PYRAZINAMIDE ， 一般錠劑膠囊劑 ， 500.00 MG,707740.5,4.68,培力藥品工業股份有限公司
AC38132100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,816411.0,1.5,國嘉製藥工業股份有限公司幼獅三廠
AC381321G0,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,30354.3,2,國嘉製藥工業股份有限公司幼獅三廠
AC38134100,SILYMARIN ， 一般錠劑膠囊劑 ， 150.00 MG,32131.0,1.64,明大化學製藥股份有限公司
AC381341G0,SILYMARIN ， 一般錠劑膠囊劑 ， 150.00 MG,605308.0,2,明大化學製藥股份有限公司
AC38135212,TRAMADOL ， 注射劑 ， 100.00 MG,1563.0,40.2,瑞士藥廠股份有限公司
AC38145212,TRAMADOL ， 注射劑 ， 100.00 MG,453281.7,39.1,美時化學製藥股份有限公司
AC38154100,NIFEDIPINE ， 一般錠劑膠囊劑 ， 5.00 MG,2923.0,2,漁人製藥股份有限公司
AC38158100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 500.00 MG,3176.6,3.67,意欣國際有限公司
AC38159321,DIFLUCORTOLONE 1MG/GM + ISOCONAZOLE 10MG/GM， 外用軟膏劑， 5.00GM,78.0,19.7,中國化學製藥股份有限公司新豐工廠
AC38159335,DIFLUCORTOLONE 1MG/GM + ISOCONAZOLE 10MG/GM， 外用軟膏劑， 15.00GM,573.0,67,中國化學製藥股份有限公司新豐工廠
AC38164100,TIAPROFENIC ACID ， 一般錠劑膠囊劑 ， 200.00 MG,25744.0,3.21,瑞士藥廠股份有限公司
AC38168100,PROPRANOLOL ， 一般錠劑膠囊劑 ， 40.00 MG,1257.0,1.5,仙台藥品工業股份有限公司
AC38180100,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,4631056.7,1.5,生達化學製藥股份有限公司
AC381801G0,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,5580687.2,2,生達化學製藥股份有限公司
AC38184321,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 5.00GM,15659.0,18.9,壽元化學工業股份有限公司
AC38184329,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 10.00GM,16845.0,50,壽元化學工業股份有限公司
AC38184336,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 16.00GM,14.0,59,壽元化學工業股份有限公司
AC38184338,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 20.00GM,446.0,99,壽元化學工業股份有限公司
AC38185212,CIMETIDINE ， 注射劑 ， 300.00 MG,203.0,15,壽元化學工業股份有限公司
AC38186100,VITAMIN B12 (=MECOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,1855392.3,1.87,國嘉製藥工業股份有限公司幼獅三廠
AC381861G0,VITAMIN B12 (=MECOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,1151060.8,2,國嘉製藥工業股份有限公司幼獅三廠
AC38188100,DICLOFENAC ， 一般錠劑膠囊劑 ， 50.00 MG,174366.5,1.5,應元化學製藥股份有限公司
AC38192212,VITAMIN B12 ， 注射劑 ， 10000.00 MCG,327.5,15.5,台裕化學製藥廠股份有限公司
AC38194100,UBIDECARENONE ， 一般錠劑膠囊劑 ， 10.00 MG,35946.0,3.57,成大藥品股份有限公司
AC38204100,CAPTOPRIL ， 一般錠劑膠囊劑 ， 25.00 MG,28370.7,1.57,健喬信元醫藥生技股份有限公司
AC382041G0,CAPTOPRIL ， 一般錠劑膠囊劑 ， 25.00 MG,3016988.8,2,健喬信元醫藥生技股份有限公司
AC38209100,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 10.00 MG,423.0,1.5,國嘉製藥工業股份有限公司幼獅三廠
AC38211100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,937515.8,1.5,成大藥品股份有限公司
AC382111G0,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,237790.1,2,成大藥品股份有限公司
AC38235100,CHOLINE BITARTRATE 100MG + CYSTEINE 20MG-25MG + INOSITOL 25MG + VITAMIN B12 1.5MCG， 一般錠劑膠囊劑，,995777.0,1.6,井田國際醫藥廠股份有限公司
AC38247100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,7304.5,1.5,達德士藥品有限公司
AC38260100,GINKGO BILOBA EXTRACT， 一般錠劑膠囊劑 ， 40.00 MG,8796.0,2.51,優生製藥廠股份有限公司
AC38263100,MEQUITAZINE ， 一般錠劑膠囊劑 ， 5.00 MG,131562.4,1.5,約克製藥股份有限公司
AC382631G0,MEQUITAZINE ， 一般錠劑膠囊劑 ， 5.00 MG,3268.0,2,約克製藥股份有限公司
AC38266100,含CODEINE複方鎮咳劑， 一般錠劑膠囊劑,3661.0,1.5,國嘉製藥工業股份有限公司幼獅三廠
AC382661G0,含CODEINE複方鎮咳劑， 一般錠劑膠囊劑,1506.0,2,國嘉製藥工業股份有限公司幼獅三廠
AC38283309,SODIUM CHLORIDE ， 外用液劑 ， 9.00  MG/ML ， 1000.00 ML,1239.0,43,信東生技股份有限公司
AC38283377,SODIUM CHLORIDE ， 外用液劑 ， 9.00  MG/ML ， 500.00 ML,682.0,30.5,信東生技股份有限公司
AC38284238,DOBUTAMINE ， 注射劑 ， 250.00 MG,99.0,236,瑞安大藥廠股份有限公司
AC38286100,THIAMPHENICOL ， 一般錠劑膠囊劑 ， 250.00 MG,64606.4,1.52,健喬信元醫藥生技股份有限公司
AC38288321,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 5.00 GM,1.0,46.6,生達化學製藥股份有限公司二廠
AC38291100,FAMOTIDINE ， 一般錠劑膠囊劑 ， 40.00 MG,806757.4,6.7,衛達化學製藥股份有限公司
AC38296100,GEMFIBROZIL ， 一般錠劑膠囊劑 ， 600.00 MG,14418.0,3.38,中國化學製藥股份有限公司新豐工廠
AC38317209,DIMENHYDRINATE，注射劑， 50.00MG (= DIPHENHYRAMINE 25.00MG),23679.6,15,壽元化學工業股份有限公司
AC38327100,TIAPROFENIC ACID ， 一般錠劑膠囊劑 ， 200.00 MG,930.0,3.36,豐田藥品股份有限公司
AC38329100,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 5.00 MG,5121.1,1.5,中國化學製藥股份有限公司新豐工廠
AC383291G0,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 5.00 MG,21.0,2,中國化學製藥股份有限公司新豐工廠
AC38332100,CEFACLOR ， 一般錠劑膠囊劑 ， 250.00 MG,13.0,3.66,新瑞生物科技股份有限公司
AC38353100,CEPHRADINE ， 一般錠劑膠囊劑 ， 250.00 MG,9.0,2.6,政德製藥股份有限公司
AC38357100,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,1137137.5,1.5,嘉林藥品有限公司
AC383571G0,DEXTROMETHORPHAN 20MG + POTASSIUM CRESOLSULFONATE 90MG + LYSOZYME 20MG， 一般錠劑膠囊劑，,255916.7,2,嘉林藥品有限公司
AC38368100,CIPROFLOXACIN ， 一般錠劑膠囊劑 ， 500.00 MG,241516.5,9.1,衛達化學製藥股份有限公司
AC38415100,HALOPERIDOL ， 一般錠劑膠囊劑 ， 5.00 MG,618.2,1.91,約克製藥股份有限公司
AC384151G0,HALOPERIDOL ， 一般錠劑膠囊劑 ， 5.00 MG,424358.0,2,約克製藥股份有限公司
AC38419100,CIMETIDINE ， 一般錠劑膠囊劑 ， 300.00 MG,24715.9,1.6,瑞士藥廠股份有限公司
AC384191G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 300.00 MG,5212933.6,2,瑞士藥廠股份有限公司
AC384191G1,CIMETIDINE ， 一般錠劑膠囊劑 ， 300.00 MG,41218.0,2,瑞士藥廠股份有限公司
AC384191G2,CIMETIDINE ， 一般錠劑膠囊劑 ， 300.00 MG,252.0,2,瑞士藥廠股份有限公司
AC384191G6,CIMETIDINE ， 一般錠劑膠囊劑 ， 300.00 MG,3219.0,2,瑞士藥廠股份有限公司
AC38422100,DILTIAZEM ， 一般錠劑膠囊劑 ， 60.00 MG,1985791.4,4.34,健喬信元醫藥生技股份有限公司
AC38426100,NIFUROXAZIDE ， 一般錠劑膠囊劑 ， 200.00 MG,124388.0,2.48,大豐製藥股份有限公司
AC38427321,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 5.00GM,1188.0,18.9,永勝藥品工業股份有限公司
AC38427329,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 10.00GM,62.0,50,永勝藥品工業股份有限公司
AC38427336,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 16.00GM,8843.0,64,永勝藥品工業股份有限公司
AC38427338,BETAMETHASONE 0.5MG/GM + GENTAMICIN 1MG/GM + CLOTRIMAZOLE 10MG/GM， 外用軟膏劑， 20.00GM,232.0,99,永勝藥品工業股份有限公司
AC38446100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,194746.5,1.5,十全實業股份有限公司
AC384461G0,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,45.0,2,十全實業股份有限公司
AC38453100,TRIMETHOPRIM ， 一般錠劑膠囊劑 ， 100.00 MG,186594.0,1.5,十全實業股份有限公司
AC38454100,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,246094.1,1.5,十全實業股份有限公司
AC384541G0,CIMETIDINE ， 一般錠劑膠囊劑 ， 200.00 MG,39713.9,2,十全實業股份有限公司
AC38460100,PIROXICAM ， 一般錠劑膠囊劑 ， 20.00 MG,104453.0,1.58,十全實業股份有限公司
AC38464100,THEOPHYLLINE 75-300MG + GUAIFENESIN 50-100MG， 一般錠劑膠囊劑,85311.8,1.5,十全實業股份有限公司
AC38465100,DIASTASE 60MG + PANCREATIN 30MG + LIPASE 10MG + VITAMIN B6 1MG + NICOTINAMIDE 10MG + PANTOTHENIC ACID 1MG， 一般錠劑膠囊劑，,1535461.3,1.5,十全實業股份有限公司
AC384651G0,DIASTASE 60MG + PANCREATIN 30MG + LIPASE 10MG + VITAMIN B6 1MG + NICOTINAMIDE 10MG + PANTOTHENIC ACID 1MG， 一般錠劑膠囊劑，,6386912.7,2,十全實業股份有限公司
AC38472151,OXETHAZAINE 2 MG/ML + ALUMINUM HYDROXIDE 61.2 MG/ML + MAGNESIUM HYDROXIDE 19.5 MG/ML ， 口服液劑 ， 60 ML,2.0,15,生達化學製藥股份有限公司二廠
AC38472157,OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 80ML/ML + MAGNESIUM HYDROXIDE 20MG/ML， 內服液劑， 120.00ML,210.0,30,生達化學製藥股份有限公司二廠
AC38472169,OXETHAZAINE 2MG/ML + ALUMINUM HYDROXIDE 61.2ML/ML + MAGNESIUM HYDROXIDE 19.5MG/ML， 口服液劑， 360.00ML,67924.0,83,生達化學製藥股份有限公司二廠
AC38474100,MEBEVERINE ， 一般錠劑膠囊劑 ， 135.00 MG,296213.5,2.35,皇佳化學製藥股份有限公司
AC38479100,GINKGO BILOBA EXTRACT， 一般錠劑膠囊劑 ， 40.00 MG,96294.0,2.24,羅得化學製藥股份有限公司
AC384791G0,GINKGO BILOBA EXTRACT， 一般錠劑膠囊劑 ， 40.00 MG,19901.0,2,羅得化學製藥股份有限公司
AC38487100,CLONIDINE ， 一般錠劑膠囊劑 ， 150.00 MCG,247.5,2.21,井田國際醫藥廠股份有限公司
AC38493100,AMINOSALICYLATE CALCIUM ， 一般錠劑膠囊劑 ， 500.00 MG,198.0,6.5,培力藥品工業股份有限公司
AC38494100,TICLOPIDINE ， 一般錠劑膠囊劑 ， 100.00 MG,1782.0,3.53,皇佳化學製藥股份有限公司
AC38498100,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,40491.5,1.5,永福藥業股份有限公司
AC384981G0,METFORMIN ， 一般錠劑膠囊劑 ， 500.00 MG,521591.5,2,永福藥業股份有限公司
AC38500100,GLICLAZIDE ， 一般錠劑膠囊劑 ， 80.00 MG,27120.0,1.79,中國化學製藥股份有限公司新豐工廠
AC38504100,CALCIUM ACETATE ， 一般錠劑膠囊劑 ， 667.00 MG,10954013.4,2.03,優良化學製藥股份有限公司
AC385041G0,CALCIUM ACETATE ， 一般錠劑膠囊劑 ， 667.00 MG,604716.0,2,優良化學製藥股份有限公司
AC38509348,SULFADIAZINE 10MG/GM + CHLORHEXIDINE 2MG/GM， 外用軟膏劑， 50.00GM,27.5,56,優良化學製藥股份有限公司
AC38509377,SULFADIAZINE 10MG/GM + CHLORHEXIDINE 2MG/GM， 外用軟膏劑， 500.00GM,9.0,480,優良化學製藥股份有限公司
AC38510100,FLUNITRAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,21053.0,2.45,福元化學製藥股份有限公司
AC385101G0,FLUNITRAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,458842.5,2,福元化學製藥股份有限公司
AC38523238,DEXTROSE ， 注射劑 ， 50.00  MG/ML ， 20.00 ML,4189.0,15,安星製藥股份有限公司
AC38523277,DEXTROSE 50MG/ML ± MULTIVITAMINES， 注射劑， 251-500ML,16175.0,31.5,安星製藥股份有限公司
AC38524321,TRIAMCINOLONE ， 外用軟膏劑 ， 1.00  MG/GM ， 5.00 GM,305.0,5.8,永勝藥品工業股份有限公司
AC38524329,TRIAMCINOLONE ， 外用軟膏劑 ， 1.00  MG/GM ， 10.00 GM,12.0,12.1,永勝藥品工業股份有限公司
AC38524335,TRIAMCINOLONE ， 外用軟膏劑 ， 1.00  MG/GM ， 15.00 GM,56541.5,15.1,永勝藥品工業股份有限公司
AC38528100,CIPROFLOXACIN ， 一般錠劑膠囊劑 ， 500.00 MG,637474.1,9.1,中國化學製藥股份有限公司新豐工廠
AC38540321,CENTELLA ASIATICA TITRATED EXTRACT ， 外用軟膏劑 ， 10.00  MG/GM ， 5.00 GM,236.0,36.4,約克製藥股份有限公司
AC38540329,CENTELLA ASIATICA TITRATED EXTRACT ， 外用軟膏劑 ， 10.00  MG/GM ， 10.00 GM,19122.2,59,約克製藥股份有限公司
AC38540335,CENTELLA ASIATICA TITRATED EXTRACT ， 外用軟膏劑 ， 10.00  MG/GM ， 15.00 GM,2204.0,59,約克製藥股份有限公司
AC38540337,CENTELLA ASIATICA TITRATED EXTRACT ， 外用軟膏劑 ， 10.00  MG/GM ， 18.00 GM,4.0,73,約克製藥股份有限公司
AC38540338,CENTELLA ASIATICA TITRATED EXTRACT ， 外用軟膏劑 ， 10.00  MG/GM ， 20.00 GM,430.0,79,約克製藥股份有限公司
AC38544265,CEFUROXIME ， 注射劑 ， 250.00 MG,1.0,28.3,瑞士藥廠股份有限公司
AC38555255,CIPROFLOXACIN ， 注射劑 ， 200.00 MG,236651.0,679,信東生技股份有限公司
AC38556100,CIMETIDINE ， 一般錠劑膠囊劑 ， 400.00 MG,61614.8,1.5,信東生技股份有限公司
AC38574100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,294.0,1.2,永信藥品工業股份有限公司
AC38575100,VITAMIN B12 (=MECOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,1682563.9,1.87,優生製藥廠股份有限公司
AC385751G0,VITAMIN B12 (=MECOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,2466904.0,2,優生製藥廠股份有限公司
AC38599100,BENZARONE ， 一般錠劑膠囊劑 ， 100.00 MG,77253.0,2.84,長安化學工業股份有限公司
AC38604329,ACYCLOVIR ， 外用軟膏劑 ， 50.00  MG/GM ， 10.00 GM,68.0,46.6,正和製藥股份有限公司新營廠
AC38605100,FAMOTIDINE ， 一般錠劑膠囊劑 ， 20.00 MG,65.0,2.26,生達化學製藥股份有限公司
AC38612100,FLUNITRAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,47351.0,2.45,明大化學製藥股份有限公司
AC386121G0,FLUNITRAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,106605.0,2,明大化學製藥股份有限公司
AC38614216,ACETYLCYSTEINE ， 注射劑 ， 300.00 MG,419545.2,15,安星製藥股份有限公司
AC38615209,CEFTRIAXONE ， 注射劑 ， 1000.00 MG,133077.0,82,臺灣汎生製藥廠股份有限公司
AC38615212,CEFTRIAXONE ， 注射劑 ， 2000.00 MG,90925.5,660,臺灣汎生製藥廠股份有限公司
AC38615277,CEFTRIAXONE ， 注射劑 ， 500.00 MG,99361.8,96,臺灣汎生製藥廠股份有限公司
AC38616100,VITAMIN B12 (=MECOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,1024975.0,1.76,利達製藥股份有限公司
AC386161G0,VITAMIN B12 (=MECOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,12276404.8,2,利達製藥股份有限公司
